station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
BAS;01.10.1759 00:00;;;10.5;-0.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1759 00:00;;;0.7;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1759 00:00;;;-1;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1760 00:00;;;-0.5;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1760 00:00;;;1.2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1760 00:00;;;2.8;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1760 00:00;;;11;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1760 00:00;;;14;-0.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1760 00:00;;;17.1;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1760 00:00;;;18.5;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1760 00:00;;;16.7;-3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1760 00:00;;;14.5;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1760 00:00;;;9.3;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1760 00:00;;;4.7;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1760 00:00;;;4.1;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1761 00:00;;;-2.9;-5.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1761 00:00;;;3.1;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1761 00:00;;;6.1;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1761 00:00;;;8.7;-2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1761 00:00;;;14.7;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1761 00:00;;;16.8;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1761 00:00;;;18.2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1761 00:00;;;18.3;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1761 00:00;;;15.1;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1761 00:00;;;7.6;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1761 00:00;;;3.7;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1761 00:00;;;-2.8;-5.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1762 00:00;;;1.5;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1762 00:00;;;0.5;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1762 00:00;;;1.3;-5.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1762 00:00;;;11.7;1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1762 00:00;;;15.2;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1762 00:00;;;16.4;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1762 00:00;;;19.8;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1762 00:00;;;17;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1762 00:00;;;13.5;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1762 00:00;;;7.5;-3.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1762 00:00;;;2.9;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1762 00:00;;;-3.9;-6.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1763 00:00;;;-5.7;-7.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1763 00:00;;;4;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1763 00:00;;;2.5;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1763 00:00;;;8.5;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1763 00:00;;;11.7;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1763 00:00;;;16.5;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1763 00:00;;;17.9;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1763 00:00;;;19.4;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1763 00:00;;;12.9;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1763 00:00;;;7.2;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1763 00:00;;;3.3;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1763 00:00;;;2.4;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1764 00:00;;;3.9;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1764 00:00;;;3.6;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1764 00:00;;;1.8;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1764 00:00;;;7.4;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1764 00:00;;;15;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1764 00:00;;;17.1;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1764 00:00;;;19.3;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1764 00:00;;;15.8;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1764 00:00;;;12.4;-3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1764 00:00;;;7;-4.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1764 00:00;;;4.1;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1764 00:00;;;1.8;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1765 00:00;;;1.7;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;
