station_abbr;station_name;station_canton;station_wigos_id;station_type_de;station_type_fr;station_type_it;station_type_en;station_dataowner;station_data_since;station_height_masl;station_height_barometer_masl;station_coordinates_lv95_east;station_coordinates_lv95_north;station_coordinates_wgs84_lat;station_coordinates_wgs84_lon;station_exposition_de;station_exposition_fr;station_exposition_it;station_exposition_en;station_url_de;station_url_fr;station_url_it;station_url_en
MER;Meiringen;BE;0-20000-0-06637;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.07.1889;589.0;589.0;2655844.0;1175930.0;46.732222;8.169247;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=MER;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=MER;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=MER;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=MER
NEU;Neuchâtel;NE;0-20000-0-06604;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;485.0;485.0;2563087.0;1205560.0;47.000067;6.953297;Anhöhe (30 - 100 m über Talsohle);Butte (30-100 m au-dessus du fond de vallée);Collina (30 - 100 m sopra il fondovalle);height (30-100 m above valley);https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=NEU;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=NEU;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=NEU;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=NEU
OTL;Locarno / Monti;TI;0-20000-0-06760;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;367.0;374.0;2704167.0;1114316.0;46.172256;8.787494;Südhang;Versant sud;Versante meridionale;southern oriented slope;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=OTL;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=OTL;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=OTL;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=OTL
PAY;Payerne;VD;0-20000-0-06610;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.08.1964;490.0;490.0;2562131.0;1184612.0;46.811581;6.942469;Anhöhe (30 - 100 m über Talsohle);Butte (30-100 m au-dessus du fond de vallée);Collina (30 - 100 m sopra il fondovalle);height (30-100 m above valley);https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=PAY;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=PAY;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=PAY;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=PAY
RAG;Bad Ragaz;SG;0-20000-0-06686;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;497.0;497.0;2756911.0;1209351.0;47.016631;9.502594;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=RAG;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=RAG;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=RAG;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=RAG
SAE;Säntis;AI;0-20000-0-06680;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;2501.0;2494.0;2744188.0;1234920.0;47.249447;9.343469;Gipfellage;Sommet;Vetta;crest;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=SAE;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=SAE;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=SAE;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=SAE
SAM;Samedan;GR;0-20000-0-06792;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;1709.0;1710.0;2787251.0;1155685.0;46.526247;9.879469;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=SAM;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=SAM;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=SAM;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=SAM
SBE;S. Bernardino;GR;0-20000-0-06783;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz, SLF;01.01.1864;1639.0;1640.0;2734116.0;1147294.0;46.463542;9.1847;Tal;Vallée;Valle;valley;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=SBE;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=SBE;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=SBE;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=SBE
SIA;Segl-Maria;GR;0-20000-0-06779;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.12.1863;1804.0;1805.0;2778576.0;1144976.0;46.432331;9.762325;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=SIA;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=SIA;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=SIA;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=SIA
SIO;Sion;VS;0-20000-0-06720;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;482.0;483.0;2591633.0;1118584.0;46.21865;7.330203;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=SIO;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=SIO;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=SIO;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=SIO
SMA;Zürich / Fluntern;ZH;0-20000-0-06660;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;604.0;605.0;2685223.0;1248410.0;47.381003;8.567194;Südhang;Versant sud;Versante meridionale;southern oriented slope;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=SMA;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=SMA;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=SMA;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=SMA
STG;St. Gallen;SG;0-20000-0-06681;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;776.0;777.0;2747866.0;1254588.0;47.425475;9.398528;Nordwesthang;Versant nord-ouest;Versante nord-occidentale;north-western oriented slope;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=STG;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=STG;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=STG;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=STG
